City,Year,Shell,Volume,Mileage,Transmission,Rudder,Color,Gear,CustomsCleared,Type Engine,Price,Company,Model
Караганда,2015,внедорожник,1.8,47000,механика,слева,белый,передний привод,Да,бензин,5600000,Chevrolet,Orlando
Щучинск,2004,седан,3.0,150000,механика,слева,серебристый,передний привод,Нет,бензин,1900000,Mazda,6
Отеген-Батыр,2012,седан,2.0,177000,автомат,слева,,,Да,бензин,6000000,Ford,Mondeo
Нур-Султан (Астана),2014,седан,1.8,135000,типтроник,слева,синий металлик,передний привод,Да,бензин,3950000,Chevrolet,Cruze
Атырау,2004,седан,2.4,283000,механика,слева,черный металлик,передний привод,Нет,бензин,3300000,Toyota,Camry
Алматы,2013,кроссовер,2.0,70000,автомат,слева,белый,,Да,бензин,7700000,Kia,Sportage
Шымкент,2011,седан,1.6,290000,механика,слева,бордовый металлик,передний привод,Да,бензин,1350000,Daewoo,Nexia
Костанай,2019,седан,1.6,8300,автомат,слева,вишня металлик,передний привод,Да,бензин,6490000,Hyundai,Accent
Актобе,2011,седан,1.6,156420,механика,слева,черный металлик,передний привод,Да,бензин,4200000,Hyundai,Avante
Алматы,2002,кроссовер,3.0,170000,автомат,слева,бежевый металлик,полный привод,Да,бензин,5350000,Lexus,RX 300
Алматы,2012,кроссовер,3.5,72000,автомат,слева,черный металлик,полный привод,Да,бензин,11000000,Mercedes-Benz,GLK 300
Алматы,2005,седан,2.4,250000,автомат,слева,серебристый металлик,передний привод,Да,бензин,4700000,Toyota,Camry
Атырау,1996,седан,2.8,430000,механика,слева,серебристый металлик,передний привод,Да,бензин,1700000,Audi,A8
Актобе,2001,седан,2.6,374000,автомат,слева,черный металлик,задний привод,Нет,газ-бензин,3200000,Mercedes-Benz,E 260
Алматы,2014,кроссовер,1.6,66700,вариатор,слева,белый металлик,передний привод,Да,бензин,5750000,Nissan,Juke
Шымкент,2014,седан,1.6,150000,механика,слева,черный металлик,передний привод,Да,бензин,3300000,ВАЗ (Lada),2190 (седан)
Петропавловск,1996,седан,5.0,220000,автомат,слева,белый металлик,задний привод,Да,газ-бензин,5900000,Mercedes-Benz,S 500
Усть-Каменогорск,1985,купе,2.8,98989,механика,слева,серый,задний привод,Да,бензин,1750000,BMW,328
Усть-Каменогорск,2020,внедорожник,1.7,920,механика,слева,черный металлик,полный привод,Да,бензин,5300000,ВАЗ (Lada),2121 Нива
Аркалык,2006,универсал,2.0,175000,типтроник,слева,серебристый,передний привод,Да,бензин,3300000,Volkswagen,Passat
Алматы,2013,седан,1.6,187000,механика,слева,серый,,Да,бензин,1850000,ВАЗ (Lada),2170 (седан)
Шымкент,2014,седан,1.6,89145,автомат,слева,белый металлик,передний привод,Да,бензин,5250000,Kia,Rio
Нур-Султан (Астана),2020,седан,1.6,18000,автомат,слева,серый,передний привод,Да,бензин,7200000,Kia,Rio
Нур-Султан (Астана),2015,седан,2.5,150269,автомат,слева,белый металлик,передний привод,Да,бензин,9650000,Toyota,Camry
Талдыкорган,1995,седан,2.5,234567,автомат,слева,синий металлик,задний привод,Да,бензин,2800000,BMW,525
Алматы,1995,седан,2.5,234567,автомат,слева,синий металлик,задний привод,Да,бензин,2800000,BMW,525
Караганда,2005,кроссовер,3.0,249000,автомат,слева,черный металлик,полный привод,Да,бензин,5500000,BMW,X5
Алматы,2013,седан,3.0,127000,автомат,слева,черный,полный привод,Да,бензин,12000000,Mercedes-Benz,E 300
Нур-Султан (Астана),2007,седан,2.3,271302,типтроник,слева,серебристый,передний привод,Да,бензин,3500000,Nissan,Teana
Алматы,2018,внедорожник,2.7,26000,механика,слева,зеленый,полный привод,Да,бензин,4550000,УАЗ,Hunter
Алматы,2007,седан,6.3,148000,автомат,слева,белый,задний привод,Да,бензин,10000000,Mercedes-Benz,S 63 AMG
Костанай,2013,хэтчбек,1.3,65000,механика,слева,серебристый,передний привод,Нет,бензин,1750000,Lifan,Smily
Нур-Султан (Астана),2006,седан,1.6,128000,автомат,слева,серый,передний привод,Да,бензин,3600000,Toyota,Yaris
Усть-Каменогорск,1998,внедорожник,3.0,416000,автомат,слева,серебристый металлик,полный привод,Да,дизель,5800000,Toyota,Land Cruiser Prado
Уральск,2010,внедорожник,5.6,190000,автомат,слева,черный металлик,полный привод,Да,газ-бензин,9750000,Nissan,Patrol
Алматы,2019,хэтчбек,1.0,26000,автомат,слева,белый,передний привод,Да,бензин,4650000,Kia,Morning
Караганда,2008,седан,1.6,153000,механика,слева,серебристый,передний привод,Нет,бензин,900000,ВАЗ (Lada),2115 (седан)
Актобе,2005,седан,1.6,200000,механика,слева,зеленый,передний привод,Нет,бензин,800000,ВАЗ (Lada),2110 (седан)
Каскелен,2013,седан,1.5,50000,механика,слева,серебристый,передний привод,Да,бензин,1100000,FAW,V5
Актобе,2014,кроссовер,2.0,106000,автомат,слева,белый,передний привод,Да,бензин,4000000,Renault,Duster
Хромтау,2018,хэтчбек,1.6,89000,механика,слева,серебристый металлик,передний привод,Да,бензин,3900000,ВАЗ (Lada),Vesta
Нур-Султан (Астана),2012,седан,3.5,107000,автомат,слева,серый металлик,задний привод,Да,бензин,13500000,Lexus,GS 350
Актобе,2001,универсал,1.5,170000,механика,слева,синий металлик,передний привод,Нет,бензин,1250000,Kia,Rio
Алматы,2009,седан,1.8,178000,типтроник,слева,синий металлик,задний привод,Да,бензин,6900000,Mercedes-Benz,E 200
Павлодар,2006,седан,3.5,278415,типтроник,слева,черный,передний привод,Нет,бензин,4850000,Lexus,ES 350
Тараз,1995,седан,1.8,278000,механика,слева,синий металлик,задний привод,Да,бензин,1500000,BMW,318
Караганда,2010,седан,2.5,147000,типтроник,слева,черный металлик,задний привод,Да,бензин,7500000,BMW,523
Кызылорда,1991,хэтчбек,1.8,256000,механика,слева,голубой металлик,передний привод,Да,бензин,1200000,Volkswagen,Golf
Алматы,2006,седан,3.5,350000,автомат,слева,серый металлик,задний привод,Да,бензин,3300000,Mercedes-Benz,E 350
Алматы,2005,седан,2.4,251164,автомат,слева,серый,передний привод,Да,бензин,4290000,Toyota,Camry
Алматы,2000,седан,2.0,78000,механика,слева,черный металлик,задний привод,Да,бензин,12000000,Toyota,Altezza
Алматы,2013,седан,2.5,96000,автомат,слева,серый,,Нет,бензин,3300000,Toyota,Camry
Нур-Султан (Астана),2019,внедорожник,5.7,36000,автомат,слева,,полный привод,Да,бензин,43600000,Lexus,LX 570
Нур-Султан (Астана),2015,седан,2.5,85000,автомат,слева,белый,передний привод,Да,бензин,9000000,Toyota,Camry
Костанай,2004,седан,1.6,147000,механика,слева,вишня металлик,передний привод,Нет,бензин,760000,ВАЗ (Lada),2110 (седан)
Нур-Султан (Астана),2009,кроссовер,3.5,172000,типтроник,слева,коричневый металлик,полный привод,Да,бензин,7900000,Infiniti,FX35
Нур-Султан (Астана),2010,седан,2.5,173772,автомат,слева,,передний привод,Да,бензин,6300000,Toyota,Camry
Алматы,2008,внедорожник,4.2,204000,автомат,слева,,,Да,бензин,7500000,Rover,Land Range 
Атырау,2015,седан,1.6,190000,автомат,слева,серебристый металлик,передний привод,Да,бензин,4000000,Volkswagen,Polo
Алматы,2002,седан,1.4,220000,механика,слева,бордовый,передний привод,Да,бензин,1450000,Skoda,Fabia
Каскелен,2019,седан,1.6,23000,типтроник,слева,белый металлик,передний привод,Да,бензин,6400000,Volkswagen,Polo
Усть-Каменогорск,2011,седан,1.8,204000,типтроник,слева,серебристый,передний привод,Да,бензин,3400000,Chevrolet,Cruze
Актобе,2007,седан,1.5,170000,механика,слева,бежевый металлик,передний привод,Нет,бензин,750000,ВАЗ (Lada),2115 (седан)
Семей,2011,фургон,2.9,60000,механика,слева,белый металлик,задний привод,Да,бензин,4700000,ГАЗГАЗель,
Кокшетау,2006,кроссовер,2.0,270000,механика,слева,черный,полный привод,Да,бензин,4250000,Nissan,X-Trail
Караганда,2020,седан,1.7,5,механика,слева,,полный привод,Да,бензин,4600000,ВАЗ (Lada),2121 Нива
Актобе,2008,внедорожник,1.7,95000,механика,слева,,полный привод,Нет,бензин,1700000,Chevrolet,Niva
Актобе,2012,внедорожник,1.7,140000,механика,слева,серый металлик,полный привод,Да,бензин,2500000,Chevrolet,Niva
Актобе,2012,хэтчбек,1.6,176521,механика,слева,белый металлик,передний привод,Нет,газ-бензин,1500000,Daewoo,Nexia
Алматы,2000,седан,1.6,450,механика,слева,хамелеон,передний привод,Да,бензин,850000,ВАЗ (Lada),21099 (седан)
Нур-Султан (Астана),2013,кроссовер,1.6,53333,вариатор,слева,серебристый металлик,,Да,бензин,5200000,Nissan,Qashqai
Кокшетау,1992,седан,2.0,348305,механика,слева,зеленый,передний привод,Да,бензин,1150000,Audi,80
Павлодар,2014,внедорожник,2.7,87295,автомат,слева,белый металлик,полный привод,Да,бензин,15500000,Toyota,Land Cruiser Prado
Костанай,2010,хэтчбек,1.3,113000,механика,слева,серый металлик,передний привод,Нет,бензин,800000,ЗАЗ,Chance
Семей,2007,седан,2.4,222112,автомат,слева,серый металлик,передний привод,Да,бензин,4900000,Toyota,Camry
Актау,2013,седан,1.6,60000,автомат,слева,серебристый металлик,передний привод,Да,бензин,6200000,Hyundai,Elantra
Усть-Каменогорск,1996,внедорожник,3.0,350000,автомат,справа,голубой металлик,полный привод,Да,бензин,3700000,Mitsubishi,Delica
Алматы,2006,минивэн,2.0,148000,автомат,справа,белый металлик,полный привод,Нет,бензин,2700000,Toyota,Estima
Уральск,2001,седан,2.6,300000,автомат,слева,синий,задний привод,Да,бензин,2300000,Mercedes-Benz,C 240
Атырау,2014,фургон,2.9,72000,механика,слева,белый металлик,,Да,бензин,5999990,ГАЗГАЗель,
Алматы,2000,микроавтобус,2.9,467000,механика,слева,серебристый металлик,передний привод,Да,дизель,1655000,SsangYong,Istana
Уральск,2005,внедорожник,4.0,260000,автомат,слева,синий металлик,полный привод,Нет,бензин,3700000,Nissan,Pathfinder
Кокшетау,1999,седан,1.6,226388,механика,слева,черный,передний привод,Да,бензин,1500000,Rover,400 Series
Тараз,1994,седан,1.6,427000,механика,слева,зеленый металлик,передний привод,Да,бензин,1550000,Toyota,Carina E
Алматы,2006,внедорожник,4.0,358000,автомат,слева,,полный привод,Да,газ-бензин,9800000,Toyota,Land Cruiser Prado
Алматы,1992,седан,4.0,53000,автомат,слева,черный металлик,задний привод,Да,бензин,5990000,Lincoln,Town Car
Шымкент,2017,кроссовер,1.5,95000,механика,слева,белый,передний привод,Да,бензин,3900000,JAC,S3
Алматы,1997,внедорожник,3.0,339000,автомат,слева,серебристый металлик,полный привод,Да,дизель,3600000,Toyota,Land Cruiser Prado
Нур-Султан (Астана),2016,седан,4.4,125000,автомат,слева,черный металлик,полный привод,Да,бензин,27500000,BMW,750
Нур-Султан (Астана),2009,минивэн,2.4,139000,вариатор,справа,серебристый металлик,полный привод,Нет,бензин,3600000,Toyota,Estima
Семей,2005,внедорожник,5.4,272000,автомат,слева,белый,полный привод,Да,бензин,4000000,Lincoln,Navigator
Шымкент,2014,седан,1.6,135000,механика,слева,белый,передний привод,Да,бензин,2450000,ВАЗ (Lada),2170 (седан)
Алматы,2020,седан,1.6,13700,автомат,слева,серый,передний привод,Да,бензин,7950000,Hyundai,Elantra
Павлодар,2016,кроссовер,2.0,55000,вариатор,слева,белый металлик,передний привод,Да,бензин,10500000,Toyota,RAV 4
Алматы,2004,кроссовер,4.5,152000,автомат,слева,черный,полный привод,Да,бензин,5800000,Porsche,Cayenne
Нур-Султан (Астана),2011,седан,1.4,113841,механика,слева,черный металлик,передний привод,Да,бензин,3450000,Hyundai,Accent
Павлодар,1997,седан,3.0,9999999,механика,справа,белый металлик,задний привод,Да,бензин,4800000,Toyota,Mark II
Нур-Султан (Астана),2018,кроссовер,3.5,30000,автомат,слева,белый металлик,полный привод,Да,бензин,22500000,Toyota,Highlander
Тараз,2013,лимузин,2.9,130000,механика,слева,белый,задний привод,Да,газ-бензин,4300000,ГАЗГАЗель,
Костанай,2014,кроссовер,1.6,72000,механика,слева,белый металлик,полный привод,Да,газ-бензин,4250000,Renault,Duster
Актобе,2005,седан,2.4,176000,автомат,слева,серебристый,передний привод,Нет,бензин,3600000,Toyota,Camry
Алматы,2014,седан,1.6,100000,механика,слева,белый,,Да,бензин,2900000,ВАЗ (Lada),2170 (седан)
Костанай,2011,седан,1.6,151000,автомат,слева,серый металлик,передний привод,Нет,бензин,2300000,Chevrolet,Cruze
Нур-Султан (Астана),2013,хэтчбек,1.6,160000,автомат,слева,серый,передний привод,Да,бензин,4200000,Hyundai,Accent
Шымкент,2014,внедорожник,5.0,59253,автомат,слева,белый,полный привод,Да,бензин,21500000,Rover,Land Range  Sport
Караганда,2006,кроссовер,3.5,170000,автомат,справа,серый металлик,,Нет,бензин,5900000,Lexus,RX 350
Тараз,2013,седан,1.5,163000,механика,слева,серый металлик,передний привод,Да,бензин,1700000,ЗАЗ,Vida
Алматы,2006,внедорожник,6.1,212200,автомат,слева,черный,полный привод,Да,бензин,9500000,Jeep,Grand Cherokee
Алматы,2003,кроссовер,2.0,331,автомат,слева,,полный привод,Да,бензин,4100000,Subaru,Forester
Павлодар,2007,седан,2.4,380,автомат,слева,голубой металлик,передний привод,Да,бензин,4900000,Toyota,Camry
Алматы,2000,седан,2.5,275000,автомат,слева,серебристый,задний привод,Да,бензин,4300000,BMW,525
Караганда,2005,седан,2.0,177726,типтроник,слева,черный металлик,передний привод,Да,бензин,2999999,Mazda,3
Алматы,2020,седан,1.6,7500,автомат,слева,белый,передний привод,Да,бензин,7800000,Kia,Rio
Усть-Каменогорск,2006,кроссовер,3.5,100000,автомат,слева,серый металлик,полный привод,Да,бензин,8300000,Lexus,RX 350
Актобе,2014,пикап,2.7,15000,механика,слева,белый,,Да,газ-бензин,11500000,Toyota,Hilux
Атырау,2008,внедорожник,4.7,280000,автомат,слева,зеленый металлик,полный привод,Нет,бензин,9600000,Toyota,Land Cruiser
Шымкент,2010,внедорожник,5.7,101000,автомат,слева,черный металлик,,Да,бензин,18000000,Lexus,LX 570
Алматы,2006,кроссовер,3.0,171000,автомат,слева,золотистый,полный привод,Да,бензин,5500000,Subaru,Tribeca
Атырау,2002,купе,5.0,150000,автомат,слева,фиолетовый металлик,задний привод,Да,бензин,3500000,Mercedes-Benz,CL 500
Алматы,2017,кроссовер,2.0,42500,автомат,слева,черный металлик,полный привод,Да,бензин,28000000,Rover,Land Range  Velar
Усть-Каменогорск,2006,седан,1.6,34000,механика,слева,вишня металлик,задний привод,Нет,бензин,800000,ВАЗ (Lada),2107
Шымкент,1993,седан,2.3,300000,механика,слева,серебристый металлик,передний привод,Да,бензин,1550000,Audi,100
Нур-Султан (Астана),1996,универсал,1.8,245896,механика,слева,синий металлик,передний привод,Да,бензин,2200000,Audi,A6
Уральск,2010,седан,2.0,150000,автомат,слева,черный,полный привод,Да,бензин,4300000,Audi,A4
Усть-Каменогорск,2019,лифтбек,1.6,80000,автомат,слева,хамелеон,передний привод,Да,бензин,7000000,Skoda,Rapid
Усть-Каменогорск,2015,пикап,2.7,50000,механика,слева,белый,полный привод,Да,бензин,2700000,УАЗ,3303
Алматы,2006,хэтчбек,1.6,278000,механика,слева,зеленый металлик,передний привод,Нет,бензин,1000000,ВАЗ (Lada),2114 (хэтчбек)
Нур-Султан (Астана),2019,седан,2.5,52786,автомат,слева,серебристый,передний привод,Да,бензин,12500000,Toyota,Camry
Костанай,2015,кроссовер,2.0,150000,вариатор,слева,синий металлик,полный привод,Да,бензин,7800000,Nissan,X-Trail
Нур-Султан (Астана),2019,седан,3.5,68000,автомат,слева,белый,,Да,бензин,16400000,Toyota,Camry
Актобе,1996,седан,2.5,150000,механика,слева,серый металлик,передний привод,Да,бензин,1200000,Opel,Vectra
